Sub-County3/Sex1,Total,Working,Seeking Work/No Work Available,Persons outside the Labour Force2,Not Stated
MBEERE SOUTH,144926,84019,4154,56726,27
Male,73769,43022,2914,27819,14
Female,71152,40994,1240,28905,13
MBEERE NORTH,92097,49772,2720,39600,5
Male,45133,23758,2004,19370,1
Female,46963,26014,716,20229,4
MOUNT KENYA FOREST,21,19,-,2,-
KITUI,958995,462783,27756,468311,145
Male,460489,206999,17667,235766,57
Female,498481,255772,10087,232534,88
IKUTHA,73789,32474,1925,39387,3
Male,35397,14178,1253,19964,2
Female,38392,18296,672,19423,1
KATULANI,42501,22991,1254,18256,-
Male,20855,10641,873,9341,-
Female,21645,12349,381,8915,-
KISASI,41232,21802,765,18658,7
Male,20130,10007,562,9560,1
Female,21102,11795,203,9098,6
KITUI CENTRAL,68804,35438,2882,30476,8
Male,33750,16641,1767,15338,4
Female,35051,18795,1114,15138,4
KITUI WEST,60991,31454,1775,27762,-
Male,29120,13835,1259,14026,-
Female,31870,17619,516,13735,-
KYUSO,65507,30594,1470,33434,9
Male,31159,13476,909,16772,2
Female,34347,17118,561,16661,7
LOWER YATTA,56643,27676,2022,26939,6
Male,28271,13284,1301,13685,1
Female,28372,14392,721,13254,5
MATINYANI,42736,22967,1224,18545,-
Male,20853,10562,827,9464,-
Female,21882,12404,397,9081,-
MIGWANI,69465,35804,1416,32222,23
Male,32648,15586,863,16187,12
Female,36814,20217,553,16033,11
MUMONI,25778,11542,644,13591,1
Male,11945,4916,426,6602,1
Female,13833,6626,218,6989,-
MUTITU,48615,21355,1195,26019,46
Male,22953,9266,745,12923,19
Female,25660,12089,450,13094,27
MUTITU NORTH,18901,9290,472,9134,5
Male,9150,4219,262,4666,3
Female,9750,5071,210,4467,2
MUTOMO,98636,45416,2621,50593,6
Male,47272,20227,1637,25404,4
Female,51359,25187,983,25187,2
MWINGI CENTRAL,80882,37699,2364,40805,14
Male,38735,16580,1535,20616,4
Female,42147,21119,829,20189,10
MWINGI EAST,74692,33083,2489,39103,17
Male,35082,14068,1468,19542,4
Female,39606,19012,1021,19560,13
NZAMBANI,41618,20793,1939,18886,-
Male,20297,9532,1262,9503,-
Female,21319,11259,677,9383,-
THAGICU,13260,6230,311,6719,-
Male,6214,2713,168,3333,-
Female,7045,3517,143,3385,-
TSEIKURU,34945,16175,988,17782,-
Male,16658,7268,550,8840,-
Female,18287,8907,438,8942,-
MACHAKOS,907268,487598,41410,378190,70
Male,453262,233209,29679,190335,39
Female,453984,254376,11730,187847,31
ATHI RIVER,39652,20355,3360,15932,5
Male,21739,12074,2004,7657,4
Female,17913,8281,1356,8275,1
KALAMA,49428,25997,2720,20710,1
Male,24196,11956,1965,10274,1
Female,25227,14039,754,10434,-
KANGUNDO,79591,45888,2944,30757,2
Male,39487,21526,2255,15705,1
Female,40103,24361,689,15052,1
KATHIANI,97153,52398,3851,40889,15
Male,47507,24059,2793,20648,7
Female,49642,28337,1058,20239,8
MACHAKOS,96529,54695,5784,36040,10
Male,49107,27127,4190,17783,7
Female,47419,27567,1594,18255,3
MASINGA,131036,66545,5302,59173,16
Male,64670,30748,3898,30015,9
Female,66364,35796,1404,29157,7
MATUNGULU,116131,61984,6032,48111,4
Male,58640,30389,4357,23894,-
Female,57488,31593,1675,24216,4
MWALA,157713,86455,6277,64970,11
Male,78421,40410,4522,33481,8
Female,79289,46042,1755,31489,3
YATTA,140035,73281,5140,61608,6
Male,69495,34920,3695,30878,2
Female,70539,38360,1445,30730,4
MAKUENI,818098,422691,26346,368912,149
Male,402883,198142,18318,186359,64
Female,415197,224541,8028,182543,85
KATHONZWENI,70347,36233,1696,32413,5
Male,34626,16800,1294,16530,2
Female,35718,19431,402,15882,3
KIBWEZI,163387,76031,7492,79845,19
Male,80708,35648,4894,40157,9
Female,82675,40382,2598,39685,10
KILUNGU,52827,26802,1551,24459,15
Male,24948,11824,1077,12040,7
Female,27878,14977,474,12419,8
MAKINDU,58719,27691,2966,28034,28
Male,28839,12741,2046,14041,11
Female,29880,14950,920,13993,17
MAKUENI,99814,55918,2481,41411,4
Male,49804,27025,1747,21031,1
Female,50008,28893,734,20378,3
MBOONI EAST,88212,48048,2062,38099,3
Male,43242,22170,1429,19642,1
Female,44967,25876,633,18456,2
MBOONI WEST,89349,47068,2215,40058,8
Male,42869,20995,1631,20240,3
Female,46479,26072,584,19818,5
MUKAA,91505,50309,3278,37886,32
Male,46307,24889,2418,18988,12
Female,45198,25420,860,18898,20
NZAUI,103938,54591,2605,46707,35
Male,51540,26050,1782,23690,18
Female,52394,28540,823,23014,17
NYANDARUA,508675,285964,7630,215020,61
Male,250615,137169,5033,108385,28
Female,258046,148787,2597,106630,32
KINANGOP,95310,52336,1923,41036,15
Male,46635,25072,1253,20302,8
Female,48671,27261,670,20733,7
NYANDARUA SOUTH,74822,41619,1075,32124,4
Male,36877,19940,681,16254,2
Female,37944,21678,394,15870,2
MIRANGINE,59612,33364,988,25254,6
Male,29594,16313,662,12617,2
Female,30017,17051,326,12636,4
KIPIPIRI,82485,45944,927,35600,14
Male,40453,21956,630,17861,6
Female,42030,23986,297,17739,8
NYANDARUA CENTRAL,54937,31275,873,22782,7
Male,27220,15024,581,11611,4
Female,27716,16251,292,11170,3
NYANDARUA WEST,63173,36342,769,26058,4
Male,31410,17464,523,13422,1
Female,31759,18876,246,12634,3
NYANDARUA NORTH,78322,45072,1074,32165,11
Male,38416,21390,703,16318,5
Female,39905,23682,371,15847,5
ABERDARE NAT. PARK,14,12,1,1,-
Male,10,10,-,-,-
Female,4,2,1,1,-
NYERI,549782,330883,16762,202107,30
Male,271147,158763,11099,101269,16
Female,278611,172103,5661,100833,14
TETU,72884,44730,2106,26046,2
Male,35534,21049,1496,12988,1
Female,37348,23679,610,13058,1
KIENI EAST,79313,47704,2239,29365,5
Male,40035,24048,1417,14566,4
Female,39274,23655,820,14798,1
KIENI WEST,71889,42393,1914,27578,4
Male,35669,20520,1229,13918,2
Female,36215,21868,685,13660,2
MATHIRA EAST,68951,41825,2104,25019,3
Male,33639,20019,1269,12350,1
Female,35310,21804,835,12669,2
MATHIRA WEST,54372,33152,1944,19269,7
Male,26669,15648,1322,9696,3
Female,27700,17501,622,9573,4
NYERI SOUTH,76584,46707,1813,28062,2
Male,37103,21916,1229,13957,1
Female,39480,24791,584,14104,1
MUKURWE-INI,74962,45740,1705,27512,5
Male,37004,21650,1197,14154,3
Female,37952,24086,508,13356,2
NYERI CENTRAL,50557,28424,2931,19200,2
Male,25312,13755,1938,9618,1
Female,25244,14669,993,9581,1
MT. KENYA FOREST,174,129,2,43,-
Male,115,95,1,19,-
Female,59,34,1,24,-
ABERDARE FOREST,96,79,4,13,-
Male,67,63,1,3,-
Female,29,16,3,10,-
KIRINYAGA,429388,267143,11896,150316,33
Male,214251,132338,7702,74192,19
Female,215121,134794,4194,76119,14
KIRINYAGA CENTRAL,81031,51196,1912,27920,3
Male,39989,24883,1247,13857,2
Female,41038,26310,665,14062,1
KIRINYAGA EAST,119924,76894,3133,39877,20
Male,59423,37695,2066,19650,12
Female,60493,39193,1067,20225,8
KIRINYAGA WEST,83890,52674,1370,29843,3
Male,41445,25662,923,14858,2
Female,42443,27011,447,14984,1
MWEA EAST,80014,48530,2762,28717,5
Male,40882,25109,1767,14003,3
Female,39131,23421,995,14713,2
MWEA WEST,64497,37824,2714,23957,2
Male,32488,18966,1698,11824,-
Female,32008,18857,1016,12133,2
MT. KENYA FOREST,32,25,5,2,-
Male,24,23,1,-,-
Female,8,2,4,2,-
MURANG'A,840116,492669,27670,319648,129
Male,417413,239005,19272,159072,64
Female,422676,253649,8397,160565,65
MURANG'A EAST,59911,35388,2372,22145,6
Male,29960,17126,1719,11113,2
Female,29950,18262,653,11031,4
KANGEMA,66822,41549,1534,23739,-
Male,32812,19769,1064,11979,-
Female,34007,21778,470,11759,-
MATHIOYA,80202,48576,2059,29553,14
Male,39253,23049,1414,14784,6
Female,40948,25526,645,14769,8
KAHURO,79917,49122,1608,29179,8
Male,39127,23235,1112,14775,5
Female,40785,25885,496,14401,3
MURANG'A SOUTH,122909,69071,4693,49123,22
Male,61683,33658,3369,24645,11
Female,61222,35411,1324,24476,11
GATANGA,165101,93108,7312,64653,28
Male,82893,46622,4805,31452,14
Female,82205,46484,2507,33200,14
KIGUMO,119015,70730,2930,45330,25
Male,59067,34301,2098,22655,13
Female,59945,36428,831,22674,12
KANDARA,146198,85093,5162,55917,26
Male,72588,41217,3691,27667,13
Female,73603,43871,1471,28248,13
ABERDARE FOREST,41,32,-,9,-
Male,30,28,-,2,-
Female,11,4,-,7,-
KIAMBU,634583,353038,34523,246914,108
Male,316814,176811,22580,117371,52
Female,317745,176213,11940,129536,56
GATUNDU NORTH,96678,53942,5211,37507,18
Male,47582,26226,3457,17892,7
Female,49094,27714,1754,19615,11
GATUNDU SOUTH,102727,59322,4975,38392,38
Male,50933,28821,3377,18718,17
Female,51790,30499,1598,19672,21
GITHUNGURI,129675,73543,6657,49464,11
Male,64572,36779,4429,23358,6
Female,65095,36760,2227,26103,5
JUJA,22749,11626,1590,9528,5
Male,11505,6381,930,4191,3
Female,11243,5244,660,5337,2
KABETE,-,-,-,-,-
Male,-,-,-,-,-
Female,-,-,-,-,-
KIAMBAA,3633,2008,152,1471,2
Male,1969,1181,73,713,2
Female,1664,827,79,758,-
KIAMBU,14296,7597,1143,5549,7
Male,7260,4086,655,2517,2
Female,7033,3509,488,3031,5
KIKUYU,55064,29382,4107,21575,-
Male,27633,14774,2778,10081,-
Female,27430,14607,1329,11494,-
LARI,113781,64679,4232,44863,7
Male,56525,31860,2797,21866,2
Female,57255,32819,1435,22996,5
LIMURU,64480,34915,3740,25816,9
Male,32723,18006,2469,12243,5
Female,31757,16909,1271,13573,4
RUIRU,-,-,-,-,-
Male,-,-,-,-,-
Female,-,-,-,-,-
THIKA EAST,29174,14747,2568,11848,11
Male,14904,7972,1532,5392,8
Female,14266,6773,1034,6456,3
THIKA WEST,2326,1277,148,901,-
Male,1208,725,83,400,-
Female,1118,552,65,501,-
TURKANA,671690,302870,119224,248960,636
Male,348676,158843,64531,124980,322
Female,322996,144021,54685,123976,314
KIBISH,30925,21123,3453,6349,-
Male,15710,10641,1868,3201,-
Female,15214,10482,1585,3147,-
LOIMA,90698,45337,14145,31108,108
Male,45687,22817,7744,15070,56
Female,45011,22520,6401,16038,52
TURKANA CENTRAL,83228,39856,11414,31947,11
Male,41742,20113,6260,15363,6
Female,41486,19743,5154,16584,5
TURKANA EAST,123590,64674,22053,36715,148
Male,69204,36634,12948,19538,84
Female,54374,28037,9098,17175,64
TURKANA NORTH,54475,29172,7611,17688,4
Male,27300,14769,3825,8704,2
Female,27175,14403,3786,8984,2
TURKANA SOUTH,112506,49922,20696,41808,80
Male,57489,26038,11317,20094,40
Female,55014,23882,9379,21713,40
TURKANA WEST,176268,52786,39852,83345,285
Male,91544,27831,20569,43010,134
Female,84722,24954,19282,40335,151
WEST POKOT,478369,230760,16822,230692,95
Male,235507,109946,9330,116188,43
Female,242851,120810,7492,114497,52
KIPKOMO,81103,32462,1969,46672,-
Male,40082,15362,1162,23558,-
Female,41015,17098,807,23110,-
POKOT CENTRAL,96554,47409,3345,45784,16
Male,48335,23146,1953,23230,6
Female,48218,24262,1392,22554,10
POKOT NORTH,106842,67800,5195,33794,53
Male,51183,31801,2627,16733,22
Female,55657,35998,2568,17060,31
POKOT SOUTH,66296,25804,1097,39395,-
Male,32516,12034,675,19807,-
Female,33778,13770,422,19586,-
WEST POKOT,127574,57285,5216,65047,26
Male,63391,27603,2913,32860,15
Female,64183,29682,2303,32187,11
SAMBURU,217885,129684,9969,78207,25
Male,110117,64152,5488,40467,10
Female,107764,65530,4481,37738,15
SAMBURU CENTRAL,109516,59257,4505,45736,18
Male,55829,29253,2473,24096,7
Female,53685,30002,2032,21640,11
SAMBURU EAST,56501,35992,3035,17473,1
Male,27326,17114,1583,8629,-
Female,29175,18878,1452,8844,1
SAMBURU NORTH,51868,34435,2429,14998,6
Male,26962,17785,1432,7742,3
Female,24904,16650,997,7254,3
TRANS NZOIA,703122,296459,27354,379269,40
Male,345971,141638,16577,187738,18
Female,357134,154815,10776,191521,22
TRANS NZOIA WEST,107547,45636,3769,58129,13
Male,53103,21775,2307,29016,5
Female,54442,23861,1461,29112,8
TRANS NZOIA EAST,199879,85526,7189,107153,11
Male,98290,40894,4363,53029,4
Female,101582,44630,2826,54119,7
KWANZA,139528,57290,6337,75894,7
Male,68456,27120,3715,37617,4
Female,71069,30168,2622,38276,3
ENDEBESS,95631,41129,3360,51140,2
Male,47979,20536,1997,25445,1
Female,47649,20592,1363,25693,1
KIMININI,160537,66878,6699,86953,7
Male,78143,31313,4195,42631,4
Female,82392,35564,2504,44321,3
UASIN GISHU,573675,261161,23250,289196,68
Male,286563,127431,14753,144346,33
Female,287104,133725,8497,144847,35
AINABKOI,69935,32689,2802,34441,3
Male,34989,16059,1812,17117,1
Female,34946,16630,990,17324,2
KAPSERET,39206,18204,1860,19127,15
Male,19596,8954,1172,9465,5
Female,19610,9250,688,9662,10
KESSES,112212,51308,4413,56482,9
Male,56073,24853,2870,28345,5
Female,56136,26453,1543,28136,4
MOIBEN,93923,43905,3262,46753,3
Male,47106,21664,2096,23345,1
Female,46816,22240,1166,23408,2
SOY,151678,66574,5930,79147,27
Male,75115,31702,3744,39652,17
Female,76561,34871,2186,39494,10
TURBO,106721,48481,4983,53246,11
Male,53684,24199,3059,26422,4
Female,53035,24281,1924,26823,7
ELGEYO/MARAKWET,374788,165035,13742,195957,54
Male,187532,81253,9188,97067,24
Female,187248,83778,4554,98886,30
KEIYO NORTH,75105,33642,3360,38088,15
Male,37681,16680,2258,18737,6
Female,37423,16962,1102,19350,9
KEIYO SOUTH,105955,49312,3293,53332,18
Male,53433,24419,2242,26764,8
Female,52519,24891,1051,26567,10
MARAKWET EAST,82462,32787,3621,46053,1
Male,40560,15833,2225,22501,1
Female,41900,16953,1396,23551,-
MARAKWET WEST,111266,49294,3468,58484,20
Male,55858,24321,2463,29065,9
Female,55406,24972,1005,29418,11
NANDI,726576,342199,21514,362783,80
Male,361490,166322,13333,181789,46
Female,365068,175864,8181,180989,34
CHESUMEI,123212,57667,5167,60374,4
Male,60830,27491,3329,30007,3
Female,62379,30174,1838,30366,1
NANDI CENTRAL,108546,51014,3655,53877,-
Male,53556,24462,2191,26903,-
Female,54986,26549,1464,26973,-
NANDI EAST,97711,45854,3474,48342,41
Male,49157,23241,2025,23870,21
Female,48551,22610,1449,24472,20
NANDI NORTH,144637,66465,3756,74402,14
Male,71676,31709,2501,37457,9
Female,72958,34755,1255,36943,5
NANDI SOUTH,151611,73122,3461,75020,8
Male,75037,35286,2118,37629,4
Female,76571,37833,1343,37391,4
TINDERET,100859,48077,2001,50768,13
Male,51234,24133,1169,25923,9
Female,49623,23943,832,24844,4
BARINGO,504271,244934,23029,236269,39
Male,254645,120953,13984,119691,17
Female,249616,123978,9044,116572,22
BARINGO CENTRAL,64972,28948,3043,32980,1
Male,32303,14019,1922,16362,-
Female,32669,14929,1121,16618,1
BARINGO NORTH,89478,39693,3411,46371,3
Male,44506,18960,2100,23445,1
Female,44970,20732,1310,22926,2
EAST POKOT,67191,40139,4075,22972,5
Male,33897,19900,2260,11735,2
Female,33292,20239,1815,11235,3
KOIBATEK,84273,41270,2218,40781,4
Male,42624,20709,1400,20513,2
Female,41647,20561,818,20266,2
MARIGAT,66750,26892,2540,37308,10
Male,33477,12844,1582,19045,6
Female,33270,14046,958,18262,4
MOGOTIO,70336,30694,2710,36931,1
Male,35642,15120,1801,18720,1
Female,34693,15574,909,18210,-
TIATY EAST,61271,37298,5032,18926,15
Male,32196,19401,2919,9871,5
Female,29075,17897,2113,9055,10
LAIKIPIA,339798,183394,13184,143195,25
Male,170128,90019,8195,71906,8
Female,169663,93373,4988,71285,17
LAIKIPIA CENTRAL,61386,35291,1723,24361,11
Male,31252,17580,1180,12490,2
Female,30134,17711,543,11871,9
LAIKIPIA EAST,54171,28696,3275,22200,-
Male,27154,14383,1915,10856,-
Female,27014,14312,1360,11342,-
LAIKIPIA NORTH,29383,16029,1401,11952,1
Male,14627,7767,801,6059,-
Female,14755,8261,600,5893,1
LAIKIPIA WEST,97764,52890,3800,41063,11
Male,49120,26114,2378,20622,6
Female,48642,26776,1421,20440,5
NYAHURURU,97094,50488,2985,43619,2
Male,47975,24175,1921,21879,-
Female,49118,26313,1064,21739,2
NAKURU,968762,480262,29168,459182,150
Male,485569,235683,18800,231010,76
Female,483169,244570,10367,228158,74
GILGIL,96019,49708,2677,43623,11
Male,47797,24192,1759,21841,5
Female,48218,25515,917,21780,6
KURESOI NORTH,141429,68572,2883,69961,13
Male,70628,33244,1809,35569,6
Female,70798,35327,1074,34390,7
KURESOI SOUTH,125815,59731,1940,64141,3
Male,63280,29161,1259,32859,1
Female,62533,30569,681,31281,2
MOLO,73333,37095,1593,34644,1
Male,36855,18310,1054,17491,-
Female,36476,18785,539,17151,1
NAIVASHA,116737,59143,5497,52076,21
Male,59948,30616,3524,25797,11
Female,56787,28525,1973,26279,10
NAKURU EAST,-,-,-,-,-
Male,-,-,-,-,-
Female,-,-,-,-,-
NAKURU NORTH,58661,30231,2346,26040,44
Male,29067,14854,1470,12716,27
Female,29589,15375,876,13321,17
NAKURU WEST,-,-,-,-,-
Male,-,-,-,-,-
Female,-,-,-,-,-
NJORO,153084,75298,4183,73585,18
Male,76060,35999,2714,37339,8
