County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
MERU NATIONAL PARK,46,43.5,4.3,80.4,15.2,4.3,,,4.3,4.3,,
MT. KENYA FOREST,273,59.3,2.9,7.3,0.4,7.3,11.7,11.4,0.7,1.1,0.4,0.7
THARAKA-NITHI,109450,58.4,4.9,29.8,3.5,11.5,18.2,13.6,3.5,5,0.7,0.3
IGAMBANG'OMBE,14383,56.9,2.1,16,2.9,4.6,15.9,12.5,1.2,2.6,0.5,0.2
MAARA,34779,64.5,5.1,38.2,3.6,12.7,14.3,14.3,4.2,6.1,0.8,0.3
MERU SOUTH,28211,61.8,9,44.4,4.7,19.8,12.7,11,6.5,7.6,0.9,0.3
THARAKA NORTH,13403,46.7,1.4,10.6,2,4.6,33.4,15.6,0.5,2.2,0.3,0.3
THARAKA SOUTH,18603,51.4,2.9,16.3,3,6.6,24.8,15.8,1.7,3.2,0.5,0.3
MT. KENYA FOREST,71,77.5,11.3,52.1,,46.5,2.8,7,4.2,2.8,,1.4
EMBU,182427,62.9,6.3,42,5,14.7,17.5,13.9,5.6,6.6,0.9,0.4
EMBU EAST,39586,66.6,4.6,44.2,5.4,10.4,18.7,15.6,4.3,5.7,0.8,0.3
EMBU NORTH,24294,66.7,5.1,50.6,5.5,13,13.5,13.2,4.1,7.1,0.9,0.2
EMBU WEST,43126,59.3,13.6,56.5,5.9,29,15.5,10.1,12.7,10.7,1.3,0.4
MBEERESOUTH,45924,61.6,3.2,30.7,4.5,10,21.2,16.3,2.5,4.8,0.8,0.4
MBEERE NORTH,29483,61.9,3.5,28.4,3.4,8.2,16.5,14.1,2.8,4.4,0.8,0.4
MT. KENYA FOREST,14,71.4,14.3,28.6,21.4,14.3,,14.3,,,,
KITUI,261814,55.1,3.5,19.5,3,6.8,22,13.2,2.7,3.7,0.7,0.6
IKUTHA,16579,54.6,1.9,10.7,1.9,6.4,30.5,13.8,1,1.9,0.6,0.6
KATULANI,12166,56.5,3.2,22.4,3.4,7,25.8,12.5,3,4.5,0.7,0.4
KISASI,10860,49,2.3,15,2.7,4.4,27.2,10.3,1.2,2.8,0.6,0.5
KITUI CENTRAL,29026,55.7,8.7,37.2,5.1,15.5,13.3,12.1,8.6,6.3,1,0.7
KITUI WEST,17465,60.3,3.8,27.3,4.5,7.3,28.7,15.5,2.8,5.4,0.7,0.7
KYUSO,15969,49.4,2.4,13.2,1.9,6,21.8,14.7,1.1,2.7,0.8,0.4
